제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL,우리기준_대분류,우리기준_중분류,우리기준_소분류,출산양육_관련도,필터근거_키워드,분류근거_키워드,분류신뢰도
PROP-197368,임산부 교통카드를 만들어주세요~,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197368,2024-11-04,2024,1.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197368,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-197348,임산부 배려석 외국어 안내문 표기 확대 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197348,2024-10-30,2024,0.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197348,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-197311,임산부 배려석 운영 정책 개선 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197311,2024-10-23,2024,60.0,6,Y,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197311,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-197263,지하철 임산부석 알림음,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197263,2024-10-16,2024,1.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197263,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-197271,임산부 배려석에 바닥 라이트를 설치해주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197271,2024-10-16,2024,5.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197271,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-197204,신혼부부전세자금대출 이자지원사업 관련,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197204,2024-10-10,2024,18.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197204,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 전세",상
PROP-196964,대중교통 임산부석에 대한 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196964,2024-09-02,2024,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196964,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-196838,"유치원, 초등학교 운동장에 선셰이드(햇빛 가림막)을 설치해 주세요.",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196838,2024-08-14,2024,2.0,0,N,미상,보육·돌봄 인프라,어린이집·유치원,어린이집 운영·확충,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196838,보육·돌봄 인프라,어린이집·유치원,어린이집·유치원 운영 개선,출산양육 후보,유치원,유치원,중
PROP-196806,마곡유치원 공항고등학교 앞 부지에 도서관 건립 요청드려요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196806,2024-08-12,2024,67.0,5,Y,미상,보육·돌봄 인프라,어린이집·유치원,어린이집 운영·확충,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196806,보육·돌봄 인프라,어린이집·유치원,어린이집·유치원 운영 개선,출산양육 후보,유치원,유치원,중
PROP-196769,서울시 대중교통  임산부석 개선 요청합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196769,2024-08-03,2024,13.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196769,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-196686,신혼부부만 서울시 시민인가요??,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196686,2024-07-21,2024,1.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196686,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-196628,신혼부부만 시민??,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196628,2024-07-17,2024,2.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196628,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-196541,대중교통 임산부 배려석,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196541,2024-07-08,2024,3.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196541,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-196514,서울시 신혼부부 전세대출,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196514,2024-07-03,2024,1.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196514,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 전세",상
PROP-196474,임산부 등 노약자석 무단 착석 대처방법,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196474,2024-06-26,2024,2.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196474,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-196468,지하철 임산부 배려석에   지하철 보완요원  수시검사,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196468,2024-06-25,2024,2.0,2,N,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196468,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-196356,임산부 배려석 관련해서 제안드립니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196356,2024-06-12,2024,4.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196356,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-196331,북아현지역 우리동네 키움센터,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196331,2024-06-09,2024,2.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196331,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,키움센터,키움센터,중
PROP-196309,임산부 좌석 태그시행 제도,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196309,2024-06-05,2024,40.0,3,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196309,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-196294,관악구에도 거점 키움센터가 있었으면 좋겠습니다~,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196294,2024-06-02,2024,0.0,0,N,관악구,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196294,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,키움센터,키움센터,중
PROP-196209,지하철 임산부석 앱 설치 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196209,2024-05-20,2024,7.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196209,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-196158,영유아 부모 우대 교통 정책,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196158,2024-05-11,2024,0.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196158,보육·돌봄 인프라,어린이집·유치원,어린이집·유치원 운영 개선,출산양육 후보,영유아,유아,중
PROP-196115,임산부를 위한 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196115,2024-05-06,2024,0.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196115,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-196044,"결식아동 급식카드(꿈나무카드) 온라인,오프라인 가맹점 확대 및 잔액 이월요청",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196044,2024-04-26,2024,57.0,6,Y,미상,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196044,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,출산양육 후보,아동,급식,중
PROP-195788,소득제한을 두지 않는 보편적 한부모 혜택,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195788,2024-03-25,2024,0.0,0,N,미상,취약·다양가족 사각지대,한부모·미혼모/부,한부모·미혼모 지원,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195788,취약·다양가족 사각지대,한부모·미혼모/부,한부모·미혼부모 지원,출산양육 후보,한부모,한부모,중
PROP-195640,서울시 임산부의 건강을 위한 지원사업을 요청합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195640,2024-02-15,2024,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195640,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-195593,서울시 신혼부부 전세자금대출 증액 가능하도록 정정 부탁 드립니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195593,2024-01-31,2024,2.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195593,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 전세",상
PROP-195523,서울시 신혼부부 전세대출 한도 증액,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195523,2024-01-10,2024,18.0,2,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195523,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 전세",상
PROP-195405,서울지하철 임산부배려석 실효성 높이는 방안 제안합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195405,2023-12-05,2023,5.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195405,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-195331,"동사무소 문화센터 프로그램 저변 확대화 & 극빈층 초등학생,중학생,고등학생 무료수강& 강사 준공무원 임명 및 생계지원",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195331,2023-11-18,2023,0.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195331,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,초등학생,"초등학생, 초등",상
PROP-195272,지하철 임산부좌석,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195272,2023-11-03,2023,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195272,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-195209,임산부 출퇴근 셔틀버스,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195209,2023-10-19,2023,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195209,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-195183,국공립 유치원 등하원 차량운행 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195183,2023-10-10,2023,3.0,0,N,미상,보육·돌봄 인프라,어린이집·유치원,어린이집 운영·확충,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195183,보육·돌봄 인프라,어린이집·유치원,어린이집·유치원 운영 개선,출산양육 후보,유치원,유치원,중
PROP-195168,한부모가구 cctv지원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195168,2023-10-06,2023,1.0,0,N,미상,취약·다양가족 사각지대,한부모·미혼모/부,한부모·미혼모 지원,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195168,취약·다양가족 사각지대,한부모·미혼모/부,한부모·미혼부모 지원,출산양육 후보,한부모,한부모,중
PROP-195152,서울시신혼부부임차보증금 금리 너무높습니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195152,2023-09-28,2023,2.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195152,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 임차보증금",상
PROP-195084,실효성없는 신혼부부 대상 정책 개선 부탁드립니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195084,2023-09-08,2023,2.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195084,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-195015,세자녀 이상 행복주택 거주기간 연장관련,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195015,2023-08-24,2023,6.0,1,N,미상,다자녀·양육비·생활지원,지역 간 혜택 형평성,다자녀 지역 형평성,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195015,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,자녀,주택,중
PROP-195004,"임산부 배려석, 본래의 목적에 맞는 이용을 위한 제안",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195004,2023-08-22,2023,138.0,12,Y,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195004,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-194971,SH신혼부부 대출 연장 조건 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194971,2023-08-13,2023,3.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194971,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-194901,홍보물 개선 제안드립니다 (서울키즈 오케이존),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194901,2023-08-01,2023,0.0,0,N,미상,정보·상담·교육·거버넌스,정보 통합·앱·플랫폼,정보 통합 플랫폼·앱,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194901,보육·돌봄 인프라,어린이·아동 생활환경,아동친화 환경·시설,출산양육 후보,키즈,키즈,하
PROP-194851,혼인신고서의 &#39;성·본의 협의&#39;를 출생신고에서 하도록 변경하는 것을 건의드립니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194851,2023-07-23,2023,1.0,0,N,미상,출산·산후 초기지원,출생축하·신생아 초기지원,신생아 초기지원,출산 직후,가족건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194851,출산·산후 초기지원,출생축하·신생아 초기지원,신생아 초기지원,출산양육 후보,출생,"출생, 출생신고",상
PROP-194797,임산부석 알림멘트나 알림음을 도입해 주십시요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194797,2023-07-11,2023,2.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194797,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-194775,키움센터 관련 의견 드립니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194775,2023-07-06,2023,0.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194775,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,키움센터,키움센터,중
PROP-194771,서울시 신혼부부 이자지원 사업 한도 증액 허용 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194771,2023-07-05,2023,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194771,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-194730,임산부 배려석,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194730,2023-06-28,2023,1.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194730,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-194695,지하철임부석 임산부뱃지활용,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194695,2023-06-21,2023,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194695,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 뱃지",상
PROP-194691,키움센터 이용료 교육비공제 가능하게 개정해주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194691,2023-06-20,2023,0.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194691,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,키움센터,키움센터,중
PROP-194607,결식아동 도시락 배달사업을 통한 노인 일자리 창출,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194607,2023-06-08,2023,61.0,0,Y,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194607,보육·돌봄 인프라,어린이·아동 생활환경,아동친화 환경·시설,출산양육 후보,아동,아동,하
PROP-194557,우리동네키움센터 증설 요청 드립니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194557,2023-05-31,2023,0.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194557,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,키움센터,키움센터,중
PROP-194550,대중교통 임산부 배려석 &#34;임산부 인증후 자리에 착석 할 수 있게 부탁 드립니다. &#34;,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194550,2023-05-31,2023,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194550,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-194544,서울시 신혼부부 임차보증금 이자지원사업 추가 이자지원금리 적용시점,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194544,2023-05-30,2023,5.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194544,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 임차보증금",상
PROP-194486,한부모 가정 혜택 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194486,2023-05-17,2023,1.0,0,N,미상,취약·다양가족 사각지대,한부모·미혼모/부,한부모·미혼모 지원,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194486,취약·다양가족 사각지대,한부모·미혼모/부,한부모·미혼부모 지원,출산양육 후보,한부모,한부모,중
PROP-194428,신혼부부 임차보증금 이자지원사업 대출한도 변경에 따른 증액 검토 요청의 건,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194428,2023-05-02,2023,7.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194428,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 임차보증금",상
PROP-194407,스쿨존 교통사고 발생시 피해아동에게 실질적 피해보상안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194407,2023-04-26,2023,5.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194407,보육·돌봄 인프라,어린이·아동 생활환경,아동친화 환경·시설,출산양육 후보,아동,아동,하
PROP-194225,수서역세권 신혼희망타운 및 행복주택과 수서차량기지 개발 관련 수인분당선 새 역사 설립 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194225,2023-03-26,2023,5.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194225,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,신혼,"신혼, 주택",상
PROP-193946,임산부 입덧약 지원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193946,2023-01-20,2023,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193946,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-193921,종교문화 유산의 관관상품화,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193921,2023-01-17,2023,0.0,0,N,미상,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193921,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,출산양육 후보,유산,유산,중
PROP-193892,키움센터 늘려주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193892,2023-01-10,2023,1.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193892,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,키움센터,키움센터,중
