제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL,우리기준_대분류,우리기준_중분류,우리기준_소분류,출산양육_관련도,필터근거_키워드,분류근거_키워드,분류신뢰도
PROP-188337,임산부 알림,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188337,2020-08-31,2020,6.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188337,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-188333,서울을 넘어 경기도를 넘어 수도권에도 아동 친화적 인프라 확충과 강화,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188333,2020-08-31,2020,2.0,0,N,미상,다자녀·양육비·생활지원,지역 간 혜택 형평성,다자녀 지역 형평성,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188333,보육·돌봄 인프라,어린이·아동 생활환경,아동친화 환경·시설,출산양육 후보,아동,아동,하
PROP-188136,개포1단지 한동 흉물인 미래유산 보존을  VR전시관 형태의 시민을 위한 문화시설로 대체해주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188136,2020-08-10,2020,1114.0,464,Y,미상,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188136,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,출산양육 후보,유산,유산,중
PROP-188022,태릉..녹지공원.세계문화유산과 문화재 지키기,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188022,2020-07-24,2020,36.0,3,N,미상,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188022,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,출산양육 후보,유산,유산,중
PROP-187964,지하철 임산부석 폐지,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187964,2020-07-20,2020,6.0,4,Y,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187964,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-187940,임산부 전용 교통카드 정책,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187940,2020-07-17,2020,0.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187940,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-187929,지하철 임산부석 폐지 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187929,2020-07-15,2020,5.0,3,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187929,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-187783,지하철 임산부석 실질이용률,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187783,2020-06-27,2020,1.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187783,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-187678,반려견 양육을 위한 공공교육,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187678,2020-06-15,2020,2.0,0,N,미상,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187678,보육·돌봄 인프라,아이돌봄·조부모·베이비시터,아이돌봄·조부모 돌봄 지원,출산양육 후보,양육,양육,중
PROP-187673,실질적인 임산부 배려석 운영을 위한 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187673,2020-06-13,2020,4.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187673,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
