제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,필터근거_키워드,팀_검증_대분류,팀_검증_중분류,팀_검증_소분류,팀_검증_의견
PROP-195491,휘경2동 아이들을 위한 시설을 만들어 주세요,휘경2동 아이들을 위한 시설을 만들어 주세요,2024-01-03,2024,0.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195491,2차 조합 조건 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),,,,
PROP-195367,타지역 다둥이도 서울시 공공시설물에 주차 할인을 해주세요~,타지역 다둥이도 서울시 공공시설물에 주차 할인을 해주세요~,2023-11-28,2023,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195367,1차 직접 키워드 (다둥이),,,,
PROP-195063,대형서점 다둥이 혜택 좀 해주세요,대형서점 다둥이 혜택 좀 해주세요,2023-09-05,2023,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195063,1차 직접 키워드 (다둥이),,,,
PROP-194998,다둥이카드 앱카드 활용불가,다둥이카드 앱카드 활용불가,2023-08-19,2023,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194998,1차 직접 키워드 (다둥이),,,,
PROP-194913,지역구 유아수영프로그램 시설문의,지역구 유아수영프로그램 시설문의,2023-08-03,2023,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194913,2차 조합 조건 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),,,,
PROP-194674,영유아 부모에 대한 주차비용 지원(영유아 동반시),영유아 부모에 대한 주차비용 지원(영유아 동반시),2023-06-17,2023,60.0,2,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194674,1차 직접 키워드 (영유아),,,,
PROP-194254,시도 거주지 구분 없는 다둥이 부모 주차요금 할인 확대 추진 제안,시도 거주지 구분 없는 다둥이 부모 주차요금 할인 확대 추진 제안,2023-03-30,2023,57.0,6,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194254,1차 직접 키워드 (다둥이),,,,
PROP-194058,다둥이 모바일카드(앱) 발급을 제안합니다,다둥이 모바일카드(앱) 발급을 제안합니다,2023-02-14,2023,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194058,1차 직접 키워드 (다둥이),,,,
PROP-194020,종로구 통의동 마을마당을 아이들 놀이터로 바꿔주세요,종로구 통의동 마을마당을 아이들 놀이터로 바꿔주세요,2023-02-06,2023,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194020,2차 조합 조건 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),,,,
PROP-193717,유아놀이터 환경디자인 제안합니다,유아놀이터 환경디자인 제안합니다,2022-12-10,2022,2.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193717,2차 조합 조건 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),,,,
PROP-193677,서울시에 아이들을 위한 복합놀이터를 만들어주세요.,서울시에 아이들을 위한 복합놀이터를 만들어주세요.,2022-12-06,2022,0.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193677,2차 조합 조건 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),,,,
PROP-193096,장애인 주차장 다둥이 이용 가능하게!!,장애인 주차장 다둥이 이용 가능하게!!,2022-08-18,2022,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193096,1차 직접 키워드 (다둥이),,,,
PROP-192382,아이들이 노는곳에 안전시설이 부족하다.,아이들이 노는곳에 안전시설이 부족하다.,2022-04-26,2022,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192382,2차 조합 조건 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),,,,
PROP-191792,공공시설 형태의 유아 대상 놀이공간 확대를 건의합니다.,공공시설 형태의 유아 대상 놀이공간 확대를 건의합니다.,2021-12-02,2021,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191792,2차 조합 조건 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),,,,
PROP-191449,서울시장부터 영유아까지 물 사용량 약속하고 절약하기,서울시장부터 영유아까지 물 사용량 약속하고 절약하기,2021-10-12,2021,2.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191449,1차 직접 키워드 (영유아),,,,
PROP-190951,다둥이카드 앱설치이용,다둥이카드 앱설치이용,2021-08-06,2021,17.0,4,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190951,1차 직접 키워드 (다둥이),,,,
PROP-190650,다둥이맘에게 혼잡통행료 감면 또는 면제해 주세요,다둥이맘에게 혼잡통행료 감면 또는 면제해 주세요,2021-07-05,2021,8.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190650,1차 직접 키워드 (다둥이),,,,
PROP-190458,폭언을 없애기 위한 부모교육,폭언을 없애기 위한 부모교육,2021-06-15,2021,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190458,2차 조합 조건 (교육|학습|강좌+유아|초등돌봄|자녀|부모교육|아빠교육),,,,
PROP-190198,영유아 화상사고에 관련한 대책 문의,영유아 화상사고에 관련한 대책 문의,2021-05-16,2021,10.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190198,1차 직접 키워드 (영유아),,,,
