제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL
PROP-183220,비효과적 대학교수방식 답습 의 존재 확인 요청과 몇 가지 개선 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183220,2018-12-02,2018,0.0,1,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183220
PROP-183222,보건소에서 주사맞게 해 주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183222,2018-12-02,2018,6.0,0,N,미상,임신·난임·생식건강,난임 주사·보건소 접근성,난임 주사 보건소 허용,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183222
PROP-183232,"QR코드, 교통카드 등을 이용한 지하철 내 우산 대여",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183232,2018-12-02,2018,0.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183232
PROP-183224,보건소주사,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183224,2018-12-02,2018,2.0,1,N,미상,임신·난임·생식건강,난임 주사·보건소 접근성,난임 주사 보건소 허용,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183224
PROP-183231,제품생산과정에서 일회성 플라스틱 사용을 줄이기 위한 제품 제조방식 개선을 제안합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183231,2018-12-02,2018,2.0,0,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183231
PROP-183225,시험관시술 횟수제한 폐지시켜주셔요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183225,2018-12-02,2018,13.0,1,N,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183225
PROP-183209,버스정류장 디기석 가림막 다양성,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183209,2018-12-01,2018,0.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183209
PROP-183198,버스 정류장 담배,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183198,2018-12-01,2018,2.0,2,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183198
PROP-183173,시험관시술,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183173,2018-11-30,2018,61.0,5,Y,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183173
PROP-183175,보건소에주사,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183175,2018-11-30,2018,43.0,1,N,미상,임신·난임·생식건강,난임 주사·보건소 접근성,난임 주사 보건소 허용,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183175
PROP-183177,횟수제안폐지,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183177,2018-11-30,2018,96.0,25,N,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183177
PROP-183182,시험관아기시술,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183182,2018-11-30,2018,20.0,1,N,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183182
PROP-183157,버스나 지하철 어르신 요금 50%냅시다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183157,2018-11-29,2018,1.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183157
PROP-183145,북촌 한옥마을 문제 개선,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183145,2018-11-29,2018,0.0,0,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183145
PROP-183149,복잡한 대중교통에서 기본 매너 지키기,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183149,2018-11-29,2018,7.0,1,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183149
