제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,분류근거_키워드,분류신뢰도,출산양육관련여부,수집방식
PROP-196686,신혼부부만 서울시 시민인가요??,신혼부부만 서울시 시민인가요??,2024-07-21,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196686,직접키워드 (신혼부부),상,직접관련,ver1 수집
PROP-196628,신혼부부만 시민??,신혼부부만 시민??,2024-07-17,2024,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196628,직접키워드 (신혼부부),상,직접관련,ver1 수집
PROP-196601,서울런 다자녀 혜택,서울런 다자녀 혜택,2024-07-15,2024,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196601,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-196561,2025년 출산 무주택가구에 30만원씩 주거비용 지원 정책에 대한 건의,2025년 출산 무주택가구에 30만원씩 주거비용 지원 정책에 대한 건의,2024-07-10,2024,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196561,직접키워드 (출산),상,직접관련,ver1 수집
PROP-196543,난임부부를 위한 유전자검사(PGT-A) 비용 지원 건의,난임부부를 위한 유전자검사(PGT-A) 비용 지원 건의,2024-07-08,2024,28.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196543,직접키워드 (난임),상,직접관련,ver1 수집
PROP-196541,대중교통 임산부 배려석,대중교통 임산부 배려석,2024-07-08,2024,3.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196541,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-196514,서울시 신혼부부 전세대출,서울시 신혼부부 전세대출,2024-07-03,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196514,직접키워드 (신혼부부),상,직접관련,ver1 수집
PROP-196500,서울달 다둥이할인도 추가 부탁드려요,서울달 다둥이할인도 추가 부탁드려요,2024-07-01,2024,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196500,직접키워드 (다둥이),상,직접관련,ver1 수집
PROP-196496,출산 여성 보건소 골밀도 검사 대상 포함 요청건,출산 여성 보건소 골밀도 검사 대상 포함 요청건,2024-06-30,2024,28.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196496,직접키워드 (출산),상,직접관련,ver1 수집
PROP-196484,"보차혼용도로에 대한 미흡점 개선 제안 (서울시내 보차혼용도로에 위치한 어린이집, 유치원, 초등학교, 중학교, 고등학교 스쿨존 설정 및 인도 설치 의무화와 서울시내 어린이집의 스쿨존 지정(전체 불가시 보차혼용도로내 위치한 어린이들이라도 우선 지정))","보차혼용도로에 대한 미흡점 개선 제안 (서울시내 보차혼용도로에 위치한 어린이집, 유치원, 초등학교, 중학교, 고등학교 스쿨존 설정 및 인도 설치 의무화와 서울시내 어린이집의 스쿨존 지정(전체 불가시 보차혼용도로내 위치한 어린이들이라도 우선 지정))",2024-06-28,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196484,직접키워드 (어린이집),상,직접관련,ver1 수집
