SN,TITLE,CONTENT,VOTE_SCORE,REG_DATE,VISIOIN_TXT,USER_COMMENT_CNT,VOTE_CNT,VOTE_DIS_CNT,REPLY_YN
191836.0,어린이집 영유아 보육활동 교육자료의 보육교사 자부담 유료비용 완화,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191836,5.0,2021-12-09 13:28:10.0,여성,0,1,0,N
191657.0,다자녀 할인 공통 적용,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191657,5.0,2021-11-10 13:54:27.0,문화,0,1,0,N
191470.0,결혼 및 저출산문제에 대한 새로운 접근,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191470,2.0,2021-10-14 14:37:22.0,여성,1,2,0,N
191363.0,"어린이집,학교, 노인시설등의 차량과속 사고예방 해결방법",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191363,0.0,2021-09-28 17:52:57.0,교통,1,0,0,N
191294.0,서울특별시 생태친화보육에 지역 꽃집이 참여할 수 있게 해주세요!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191294,10.0,2021-09-21 16:05:49.0,기타,1,2,0,N
191232.0,쌍둥이 출산시 도우미 지원 해주세요!!!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191232,5.0,2021-09-12 13:41:26.0,여성,1,1,0,N
191195.0,"저출산, 육아 정책 제안",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191195,61.0,2021-09-08 00:19:50.0,여성,2,61,0,Y
191054.0,코로나 시국에 임산부 단축근무는 &#39;임신 전체기간&#39;으로 제도 바꿔주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191054,13.0,2021-08-20 15:28:15.0,여성,0,13,0,N
191053.0,어린이집 증원을 요청드립니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191053,8.0,2021-08-20 15:10:01.0,여성,1,4,0,N
191049.0,&#34;임신육아 종합포털 아이사랑&#34;에 어린이집 홈페이지 이관 또는 연동이 되게 해 주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191049,5.0,2021-08-20 11:33:57.0,여성,2,1,0,N
190968.0,어린이집 장기미종사자,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190968,5.0,2021-08-09 17:02:29.0,여성,0,5,0,N
190902.0,"어린이집, 유치원 학부모 백신 우선접종",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190902,8.0,2021-07-30 16:06:48.0,건강,2,8,0,N
190681.0,구로구 소재 어린이집 폐원 관련 해결 방안을 마련해 주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190681,107.0,2021-07-09 14:48:45.0,기타,18,103,0,Y
190633.0,서울시 남녀임신준비 사업에서 여성도 외부에서 검사받을수 있게 해주세요!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190633,17.0,2021-07-02 19:21:15.0,건강,2,13,0,N
190617.0,산업단지공단 소속 햇님어린이집 폐소에 따른 대안을 마련해주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190617,59.0,2021-07-01 12:25:39.0,기타,4,55,0,Y
190545.0,아이돌봄서비스 개선을 제안합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190545,4.0,2021-06-22 21:21:59.0,여성,2,4,0,N
190426.0,보육교사 백신휴가 평등하게 지원해 주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190426,77.0,2021-06-13 21:59:54.0,기타,15,73,0,Y
190358.0,어린이집 10m내 금연금지구역. 흡연구역과 금연구역이 공존하는 공간,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190358,11.0,2021-06-07 15:04:21.0,건강,0,3,0,N
190352.0,어린이집 교사 코로나 백신접종 추가예약서비스,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190352,15.0,2021-06-07 12:55:56.0,건강,1,7,0,N
189934.0,미세먼지 경보가 발효되어도 어린이집 실외활동이 가능한 지침을 개정해 주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189934,11.0,2021-04-20 09:58:40.0,여성,1,3,0,N
189861.0,다자녀혜택에 대해 서울시와 경기도를 구분하지 맙시다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189861,6.0,2021-04-14 17:06:12.0,여성,0,2,0,N
189652.0,iseoulu.co.kr 출산용품지원누리집 운영방식 변경 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189652,7.0,2021-03-25 10:38:07.0,여성,2,3,0,N
189401.0,어린이집 학부모회의에서  cctv 정기적 확인할수 있게 해주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189401,60.0,2021-02-08 21:06:55.0,복지,5,56,0,Y
189236.0,서울시 임신출산 정보센터 글 수정해야 하는거 아닌가요??;;;,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189236,15.0,2021-01-05 21:22:32.0,건강,1,11,0,N
189218.0,보육교사 코로나19 선제검사 강력한 공지 철회를 요구합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189218,24.0,2020-12-30 14:55:34.0,여성,5,24,0,N
189200.0,현장상황 반영 안 된 '보육교사 코로나19 선제검사'와 관련하여 제안합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189200,25.0,2020-12-28 14:16:57.0,여성,2,25,0,N
189155.0,보육교사 안전을 위해 긴급보육 등원하는 아이들도 음성확인서 제출 제안합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189155,13.0,2020-12-20 00:02:15.0,여성,0,13,0,N
189150.0,보육교사 선제적검사관련하여 제안합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189150,241.0,2020-12-18 17:42:59.0,건강,64,241,0,Y
189149.0,어린이집 이용 가정은 음성판정 후 이용할 수 있게 해주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189149,18.0,2020-12-18 16:29:06.0,여성,1,18,0,N
189148.0,보육교사가 우스운 정부공무원들께.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189148,27.0,2020-12-18 14:11:31.0,여성,4,27,0,N
189145.0,긴급보육사용 코로나검사,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189145,16.0,2020-12-18 08:53:29.0,여성,1,16,0,N
189144.0,육아수당이나 출생지원금이나 좀 제발 국민좀 챙겨요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189144,0.0,2020-12-17 19:39:35.0,여성,0,0,0,N
189075.0,저출산 근본적 해결을 위한 남녀성평등 교육 강화 방안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189075,11.0,2020-12-10 02:45:13.0,여성,1,3,0,N
189067.0,어린이집 예산 지출시 전자적 영수증 첨부시 증빙 인증으로 명문 및 제도화,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189067,49.0,2020-12-09 11:45:10.0,여성,12,51,0,N
188884.0,"어린이집 사회적 거리두기 단계에 따른  방역지침을 보다 세밀하게 강화해주십시오.(아픈 아이들의 등원문제, 가림막설치, 교사인권 등)",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188884,6.0,2020-11-22 21:52:36.0,여성,0,2,0,N
188854.0,"육아휴직 가능한 자녀연령을 만 15세까지로 연장하고, 비공무원과 공무원 모두 육아휴직 3년과 육아기 2시간단축근무 당장 시행해주세요!!",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188854,4.0,2020-11-18 14:01:19.0,경제,0,4,0,N
188801.0,2021년 서울형 뉴딜일자리 어린이집 공동회계사무원 뉴딜일자리 제안서,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188801,56.0,2020-11-12 13:26:18.0,경제,11,56,0,N
188788.0,지하철 임신부지정석 관련,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188788,0.0,2020-11-11 10:58:54.0,교통,0,0,0,N
188675.0,소·중소기업 육아 및 임산부 근로환경 컨설팅 시행,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188675,6.0,2020-10-28 17:23:41.0,경제,1,2,0,N
188468.0,어린이집 인건비 정부 지원정책에 연령 제한이 있다구요?,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188468,10.0,2020-09-17 03:11:10.0,여성,4,10,0,N
188264.0,보육시설폐쇄 등 코로나 확진과 관련한 보육대책 마련관련,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188264,1.0,2020-08-23 19:59:22.0,여성,0,1,0,N
188170.0,공덕sk리더슈뷰 단지 내 어린이집 개원 도와주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188170,2.0,2020-08-14 11:33:34.0,여성,0,2,0,N
187957.0,공동육아초등방과후의 사회적 인정과 제도적 지원을 원합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187957,170.0,2020-07-20 10:34:24.0,복지,51,170,0,Y
187873.0,[임산부 복지 제안] 임신 중기 이후에는 (ex. 20주 등) 택시 이용시 50% 할인(시에서 50%부담) 제도 건의합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187873,10.0,2020-07-08 10:20:33.0,여성,2,2,0,N
187774.0,코로나 19로 인한 유치원 어린이집 특기강사 에 대한 정부에 대책이 시급합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187774,3.0,2020-06-26 17:50:33.0,여성,0,3,0,N
187760.0,어린이집  특기 교육  왜 못하게 하나요?,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187760,0.0,2020-06-24 23:03:40.0,여성,0,0,0,N
187366.0,동네 나눔 육아 50+어벤져스,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187366,3.0,2020-05-19 09:18:20.0,여성,0,3,0,N
187052.0,"저소득, 다자녀 가구에 매트 제공",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187052,0.0,2020-04-15 13:13:54.0,주택,0,0,0,N
186586.0,보육원 졸업생 대상 직업군인 되기 캠페인,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186586,5.0,2020-03-09 17:20:28.0,안전,2,1,0,N
