제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,대분류,중분류,소분류,분류근거_키워드,분류신뢰도,출산양육관련여부,수집키워드,수집방식,제외사유
PROP-184041,"길고양이 입양시 중성화 수술, 예방접종 비용 지원 및 쉼터조성을 통한 길고양이 관련 민원 해소 대책 마련","길고양이 입양시 중성화 수술, 예방접종 비용 지원 및 쉼터조성을 통한 길고양이 관련 민원 해소 대책 마련",2019-03-08,2019,10.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184041,보육·돌봄 인프라,아동 건강·의료 접근성,소아응급·야간진료·영유아검진,예방접종,상,직접관련,예방접종,확장 1차 생활키워드 수집,
PROP-183924,안전지킴이(아이들에게 기쁨을!),안전지킴이(아이들에게 기쁨을!),2019-02-27,2019,2.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183924,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아이,중,조합관련,아동_안전환경: 안전 + 아이,2차 문맥조합 수집,
PROP-183684,어르신들의 산책로와  아이들의 안전한 숲을 지켜주세요,어르신들의 산책로와  아이들의 안전한 숲을 지켜주세요,2019-01-22,2019,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183684,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아이,중,조합관련,아동_안전환경: 안전 + 아이,2차 문맥조합 수집,
PROP-183129,보건소에서 예비맘을 위한 예비맘 키트를 제공해주셨으면 좋겠어요,보건소에서 예비맘을 위한 예비맘 키트를 제공해주셨으면 좋겠어요,2018-11-27,2018,294.0,25,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183129,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,예비맘,상,직접관련,예비맘,확장 1차 생활키워드 수집,
PROP-182770,어린이보호구역 불법주차 및 정차 상설 신고제도,어린이보호구역 불법주차 및 정차 상설 신고제도,2018-10-24,2018,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182770,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-182161,어린이 노인보호구역 신호등커버나 기둥에 노란색 칠하기,어린이 노인보호구역 신호등커버나 기둥에 노란색 칠하기,2018-09-04,2018,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182161,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-182108,어린이 보호구역 신호등 노란색 칠하기,어린이 보호구역 신호등 노란색 칠하기,2018-08-29,2018,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182108,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-182052,어린이보호구역 도로를 울퉁불퉁하게 해서 과속을 방지해 주세요,어린이보호구역 도로를 울퉁불퉁하게 해서 과속을 방지해 주세요,2018-08-22,2018,3.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182052,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-181959,어린이 등하원 돌보미 활용방안,어린이 등하원 돌보미 활용방안,2018-08-10,2018,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181959,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,"등하원, 하원",상,직접관련,등하원,확장 1차 생활키워드 수집,
PROP-181276,"서울 녹지, 공원, 아동청소년 놀이터 확충 요구한다","서울 녹지, 공원, 아동청소년 놀이터 확충 요구한다",2018-05-20,2018,0.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181276,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,공간·편의시설: 공원 + 아동,중,조합관련,공간·편의시설: 공원 + 아동,2차 문맥조합 수집,
