제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL,출산양육관련여부,분류근거_키워드,분류신뢰도,수집방식,제외사유,대분류,중분류,소분류,보정필터_소스
PROP-194797,임산부석 알림멘트나 알림음을 도입해 주십시요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194797,2023-07-11,2023,2.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194797,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-194775,키움센터 관련 의견 드립니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194775,2023-07-06,2023,0.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194775,직접관련,키움센터,상,기존 1차 직접키워드 수집,,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,신규추가7586_제목본문기준
PROP-194771,서울시 신혼부부 이자지원 사업 한도 증액 허용 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194771,2023-07-05,2023,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194771,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-194730,임산부 배려석,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194730,2023-06-28,2023,1.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194730,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-194695,지하철임부석 임산부뱃지활용,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194695,2023-06-21,2023,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194695,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-194691,키움센터 이용료 교육비공제 가능하게 개정해주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194691,2023-06-20,2023,0.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194691,직접관련,키움센터,상,기존 1차 직접키워드 수집,,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,신규추가7586_제목본문기준
PROP-194687,난자냉동 지원 나이를 만28세로 하향해주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194687,2023-06-19,2023,1.0,0,N,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194687,직접관련,난자냉동,상,확장 1차 생활키워드 수집,,임신·난임·생식건강,임신 준비·가임력 지원,가임력검사·난자냉동·예비부부검진,신규추가7586_제목본문기준
PROP-194557,우리동네키움센터 증설 요청 드립니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194557,2023-05-31,2023,0.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194557,직접관련,키움센터,상,기존 1차 직접키워드 수집,,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,신규추가7586_제목본문기준
PROP-194550,대중교통 임산부 배려석 &#34;임산부 인증후 자리에 착석 할 수 있게 부탁 드립니다. &#34;,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194550,2023-05-31,2023,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194550,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-194544,서울시 신혼부부 임차보증금 이자지원사업 추가 이자지원금리 적용시점,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194544,2023-05-30,2023,5.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194544,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
