proposal_id,title,issue_type,severity,detail,recommendation,category,sub_category,micro_category,department,source_url
PROP-182211,신혼부부 영구주택 100만호 건설합시다.,DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182211
PROP-182211,신혼부부 영구주택 100만호 건설합시다.,POLICY_UNVERIFIABLE,high,본문 없이 현행 정책이 저장 연결됨,정책 연결 제거·보류,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182211
PROP-182192,"장애인, 기초수급자, 한부모가정 등 이사시 에어컨 보일러 점검 서비스 해야",CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,취약·다양가족 사각지대,한부모·위기임산부,한부모·미혼부모·위기임산부,장애인가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182192
PROP-182192,"장애인, 기초수급자, 한부모가정 등 이사시 에어컨 보일러 점검 서비스 해야",DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,취약·다양가족 사각지대,한부모·위기임산부,한부모·미혼부모·위기임산부,장애인가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182192
PROP-182161,어린이 노인보호구역 신호등커버나 기둥에 노란색 칠하기,CORRECTED_EXCLUSION_STALE,high,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족 (근거: data/processed/ver2_expanded/상상대로_신규수집_출산양육후보_보정제외로그_ver3.csv),최종 데이터에서 제외 또는 별도 범위 밖 보관,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182161
PROP-182151,각 구마다 산모을 위한 산모요가 프로그램?,CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,출산·산후 초기지원,산후조리,산후조리·산모도우미,가족건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182151
PROP-182151,각 구마다 산모을 위한 산모요가 프로그램?,DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,출산·산후 초기지원,산후조리,산후조리·산모도우미,가족건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182151
PROP-182108,어린이 보호구역 신호등 노란색 칠하기,CORRECTED_EXCLUSION_STALE,high,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족 (근거: data/processed/ver2_expanded/상상대로_신규수집_출산양육후보_보정제외로그_ver3.csv),최종 데이터에서 제외 또는 별도 범위 밖 보관,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182108
PROP-182052,어린이보호구역 도로를 울퉁불퉁하게 해서 과속을 방지해 주세요,CORRECTED_EXCLUSION_STALE,high,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족 (근거: data/processed/ver2_expanded/상상대로_신규수집_출산양육후보_보정제외로그_ver3.csv),최종 데이터에서 제외 또는 별도 범위 밖 보관,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182052
PROP-181948,출산장려금,TAXONOMY_MISMATCH,medium,"내용 기반 후보=임신·난임·생식건강, 현재=출산·산후 초기지원",본문 확인 후 대·중·소분류 재분류,출산·산후 초기지원,출산가구 초기지원,출산지원금·출생축하,건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181948
